equipment_id,equipment_model,casing_temperature_c,vibration_mm_s,discharge_pressure_bar,flow_lpm,motor_current_a,hours_since_maintenance,failure_within_7_days
PX200-0001,PX-200,61.8,3.75,5.45,191.3,9.6,677,0
PX200-0002,PX-200,63.4,1.51,5.5,203.5,9.4,1113,0
PX200-0003,PX-200,54,3.31,5.29,182.7,12.7,403,0
PX200-0004,PX-200,60.5,2.2,5.78,196.7,8.1,498,0
PX200-0005,PX-200,62.8,2.78,5.95,216.6,9.9,128,0
PX200-0006,PX-200,85.9,4.58,4.79,176.9,12.5,860,0
PX200-0007,PX-200,82.3,4.47,4.11,180.7,13.7,1470,1
PX200-0008,PX-200,59.6,5.26,4.45,153.1,12.1,512,0
PX200-0009,PX-200,88,6.62,4.58,128.7,15.4,2222,0
PX200-0010,PX-200,55.5,0.95,5.79,210,9.8,467,0
PX200-0011,PX-200,78.2,4.71,4.3,188.6,12.7,1436,0
PX200-0012,PX-200,56.1,2.99,6.26,185.4,11.2,50,0
PX200-0013,PX-200,72.8,4.93,4.67,177.6,15.1,1091,1
PX200-0014,PX-200,58.9,2.76,4.86,202.1,12.2,931,0
PX200-0015,PX-200,74.3,5.31,4.46,151.2,14.7,1083,1
PX200-0016,PX-200,62.3,4.53,5.69,187,9,598,0
PX200-0017,PX-200,74.8,4.45,4.23,146.9,11.5,1083,0
PX200-0018,PX-200,68.6,5.28,4.88,184.3,12,532,1
PX200-0019,PX-200,77.2,4.95,4.7,163.3,16,611,0
PX200-0020,PX-200,84.4,6.95,4.53,134.8,15.4,1662,1
PX200-0021,PX-200,53,2.66,4.99,200.6,12.4,1101,0
PX200-0022,PX-200,83.6,4.6,4.93,184,13.3,1025,0
PX200-0023,PX-200,78.9,5.46,4.27,143,14.3,2121,1
PX200-0024,PX-200,67.8,4.84,4.91,161.3,14.7,1577,1
PX200-0025,PX-200,60.9,2.74,5.07,230,11.4,732,0
PX200-0026,PX-200,63.6,1.59,5.93,201.9,11.4,1244,0
PX200-0027,PX-200,76.4,4.83,4.7,183.9,12.5,1883,0
PX200-0028,PX-200,52.9,2.92,4.78,205.9,13.8,641,0
PX200-0029,PX-200,78.8,5.3,5.58,163.3,14.7,2005,0
PX200-0030,PX-200,64,1.83,4.28,196.1,13.2,280,0
PX200-0031,PX-200,71.2,2.15,5.15,202.3,10.3,576,0
PX200-0032,PX-200,66.2,2.95,5.26,190.5,10.1,362,0
PX200-0033,PX-200,58.7,3.06,4.83,197.2,8.7,1049,0
PX200-0034,PX-200,91.4,7.59,5.06,125.9,15.1,2233,1
PX200-0035,PX-200,63.3,2.38,5.28,211.1,12.9,203,0
PX200-0036,PX-200,69.5,1.08,5.1,192.9,11.8,127,0
PX200-0037,PX-200,57.7,3.12,4.86,187.6,12.2,594,0
PX200-0038,PX-200,64.2,2.12,5.13,193.3,9.8,925,0
PX200-0039,PX-200,59.3,0.54,5.41,156.6,10.7,287,0
PX200-0040,PX-200,77.6,7.1,4.31,122.3,16.6,1348,0
PX200-0041,PX-200,62.8,0.96,4.7,214.7,10.3,918,0
PX200-0042,PX-200,64.6,3.7,5.12,163.1,12.7,1040,0
PX200-0043,PX-200,61.2,2.44,5.37,186.8,10.6,864,0
PX200-0044,PX-200,59.1,3.11,5.25,209.3,11.3,1015,0
PX200-0045,PX-200,61.7,3.75,5.3,179.4,11.8,680,0
PX200-0046,PX-200,78,3.37,4.46,141,14,1500,0
PX200-0047,PX-200,65,3.29,5.53,203.9,9.5,191,0
PX200-0048,PX-200,60.7,2.42,5.22,175.3,11,1045,0
PX200-0049,PX-200,51.2,2.55,5.24,185,11.9,153,0
PX200-0050,PX-200,67.1,2.26,5.19,178.5,10.6,1060,0
PX200-0051,PX-200,64.6,3.2,4.99,170.4,10.7,1724,0
PX200-0052,PX-200,66.8,2.42,5.08,180.4,10.2,1018,0
PX200-0053,PX-200,71.3,5.25,5.29,161.8,14,1066,0
PX200-0054,PX-200,69.7,2.31,5,226.3,9,1158,0
PX200-0055,PX-200,69.9,2.07,4.93,161.2,13.1,1281,0
PX200-0056,PX-200,64.5,5.42,4.81,173.9,13.2,1052,0
PX200-0057,PX-200,59.8,2.44,5.29,207.4,9.5,58,0
PX200-0058,PX-200,71.5,3.1,4.88,193.2,12.1,50,0
PX200-0059,PX-200,60.6,3.62,5.08,170.6,12.6,817,0
PX200-0060,PX-200,68.8,2.71,5.25,190.4,8.2,513,0
PX200-0061,PX-200,76.9,3.79,4.46,163.5,13.5,1436,0
PX200-0062,PX-200,55.9,3.23,5.49,176.1,11.2,612,0
PX200-0063,PX-200,56.1,3.91,5.51,153.5,10.3,869,0
PX200-0064,PX-200,59.1,2.9,5.15,205.7,10.7,876,1
PX200-0065,PX-200,71.8,1.9,5.48,204,11.1,1150,0
PX200-0066,PX-200,76.1,5.17,4.88,171.6,12.8,1941,0
PX200-0067,PX-200,88.5,3.54,4.22,130.6,13.9,585,0
PX200-0068,PX-200,88.1,7.23,4.12,121.2,15.1,2261,0
PX200-0069,PX-200,59.8,2.54,5.15,177.7,12,640,0
PX200-0070,PX-200,57.4,2.97,6.09,170.6,8,1329,0
PX200-0071,PX-200,79.2,7.34,3.98,114.7,17.4,1555,1
PX200-0072,PX-200,79.8,5.48,5.2,167.9,12,1501,0
PX200-0073,PX-200,84.4,3.09,4.83,159.5,11,1853,0
PX200-0074,PX-200,54.4,3.38,4.98,174.1,13.1,1540,0
PX200-0075,PX-200,57.9,1.71,5.13,145.4,8.9,803,0
PX200-0076,PX-200,73.2,2.74,5.64,202.7,11.5,155,0
PX200-0077,PX-200,79.8,6.06,4.33,116.9,14.9,2315,1
PX200-0078,PX-200,56.6,1.64,5.23,204.4,11.3,386,0
PX200-0079,PX-200,94.8,7.58,3.85,135.1,17,2346,1
PX200-0080,PX-200,63.6,1.24,5.4,222.9,10.4,1396,0
PX200-0081,PX-200,61.4,3.19,5.38,160.5,12.2,1101,0
PX200-0082,PX-200,57.5,3.12,4.97,210,10.7,921,0
PX200-0083,PX-200,97.7,6.15,4.09,129.2,15.2,2359,1
PX200-0084,PX-200,73.8,5.12,5.71,167.2,13,1134,0
PX200-0085,PX-200,61.2,2.04,4.51,199.2,12,1439,0
PX200-0086,PX-200,73.9,5.4,4.65,163.8,14.8,966,1
PX200-0087,PX-200,81.5,6.22,4.56,166.7,12.9,1158,1
PX200-0088,PX-200,57.5,3.68,5.07,186.3,12.3,1012,0
PX200-0089,PX-200,88.9,9.11,3.91,113.1,16.2,1687,1
PX200-0090,PX-200,71.6,1.35,5.68,204.4,11.1,610,0
PX200-0091,PX-200,66.3,0.79,4.43,190.7,11.7,578,0
PX200-0092,PX-200,64.7,2.12,5.12,170.1,11.3,764,0
PX200-0093,PX-200,93.4,7.54,3.99,137.7,15.8,1995,1
PX200-0094,PX-200,67.9,2.49,5.66,220.1,11.3,171,0
PX200-0095,PX-200,66.9,1.81,5.39,191.2,11.7,471,0
PX200-0096,PX-200,75.1,5.75,5.16,159.1,14,1750,1
PX200-0097,PX-200,67.5,2.68,5.1,181.5,12.1,389,0
PX200-0098,PX-200,59.1,4.56,4.44,154.8,13.6,1196,0
PX200-0099,PX-200,82.2,7.17,4.28,136.9,17,1663,1
PX200-0100,PX-200,74.7,5.97,4.58,141.6,13.5,825,1
PX200-0101,PX-200,68.6,1.97,5.15,191.7,8.7,1695,0
PX200-0102,PX-200,65.1,2.94,5.64,210.1,10.5,1013,0
PX200-0103,PX-200,76.8,4.33,4.76,172.2,12.2,1101,0
PX200-0104,PX-200,54.7,2.59,5.51,191.3,10.1,536,0
PX200-0105,PX-200,69.4,0.98,5.26,206.7,11.3,385,0
PX200-0106,PX-200,56.8,2.18,5.27,218.9,11.2,50,0
PX200-0107,PX-200,67.2,3.41,5.64,158,9.5,259,0
PX200-0108,PX-200,51.4,3.09,5.21,193.4,10.6,1823,0
PX200-0109,PX-200,66.1,1.99,5.3,190.1,13.1,664,0
PX200-0110,PX-200,65.3,4.4,5,168.8,12.7,1338,0
PX200-0111,PX-200,90.1,5.07,4.42,158.3,14,451,0
PX200-0112,PX-200,67.4,3.72,5.41,188.9,10.5,832,0
PX200-0113,PX-200,69.8,1.84,5.2,207.9,11.1,1420,0
PX200-0114,PX-200,68.5,2.83,4.92,184.7,11.5,637,0
PX200-0115,PX-200,68.2,5.71,4.83,183.9,12.9,661,0
PX200-0116,PX-200,65.1,3.09,5.85,189.7,11.7,792,0
PX200-0117,PX-200,87.8,5.25,4.15,104.8,15.3,1952,1
PX200-0118,PX-200,74.9,3.36,4.94,180.7,14.4,1970,0
PX200-0119,PX-200,79.8,3.79,4,169.6,12.8,1085,0
PX200-0120,PX-200,80.8,6.27,4.26,139.8,15.3,2080,1
PX200-0121,PX-200,84,5.4,4.4,151.8,14.4,1352,1
PX200-0122,PX-200,78.9,5.95,4.25,165.1,15.9,1636,1
PX200-0123,PX-200,75.7,2.51,5.18,216.8,11.2,1020,0
PX200-0124,PX-200,66.2,2.6,5.72,150.2,11.3,914,0
PX200-0125,PX-200,55.4,2.42,5.26,201.3,12.5,1215,0
PX200-0126,PX-200,63.8,2.01,4.76,202.1,10.2,585,0
PX200-0127,PX-200,70.2,3.56,4.87,139.2,13.9,1291,0
PX200-0128,PX-200,56.8,2.79,5.15,168.8,10.9,804,0
PX200-0129,PX-200,85.9,3.93,4.91,158.9,10.6,1676,0
PX200-0130,PX-200,80,5.06,4.93,130.3,16,1699,1
PX200-0131,PX-200,58,3.05,4.71,191.1,11,536,0
